date,transaction
2005-02-03,Tampa Bay Devil Rays Signed C Dan Massiatte and C Paul Hooverto to minor league contracts with invitations to Spring Training.
2005-02-04,Chicago Cubs Agreed with 3B Aramis Ramirez and RHP Carlos Zambrano on one-year contracts; Agreed to terms with IF Dave Hansen on a minor league contract with an invitation to Spring Training.
2005-02-04,"Los Angeles Angels Agreed to terms with IF/OF Robb Quinlan, RHP Matt Hensley and LHP Joe Saunders on one-year contracts."
2005-02-04,"Milwaukee Brewers Signed 2B Junior Spivey to a one-year contract, avoiding arbitration, and signed IF Jeff Cirillo to a minor league contract with an invitation to Spring Training."
2005-02-04,Texas Rangers Signed RHP Pedro Astacio to a one-year contract and claimed RHP Ryan Bukvich off waivers from the Padres.
2005-02-06,Arizona Diamondbacks Acquired OF Jose Cruz Jr. and cash from the Devil Rays in exchange for LHP Casey Fossum.
2005-02-06,"Tampa Bay Devil Rays Signed 1B Travis Lee to a one-year contract, traded OF Jose Cruz Jr. and cash considerations to the Arizona Diamondbacks in exchange for LHP Casey Fossum, and designated OF Matt Diaz for assignment."
2005-02-07,Detroit Tigers Designated OF Dewayne Wise for assignment.
2005-02-07,Signed OF Magglio Ordonez to a five-year contract with vesting options for 2010 and 2011.
2005-02-07,Houston Astros Signed RHP Tim Redding to a one-year contract.
2005-02-07,New York Yankees Signed LHP Buddy Groom to a minor league contract with an invitation to Spring Training.
2005-02-07,"Pittsburgh Pirates Agreed to terms with RHP Bobby Bradley, RHP Jeff Miller, C Ryan Doumit, OF Nate McLouth and OF Chris Duffy on one-year contracts."
2005-02-07,Tampa Bay Devil Rays Agreed to terms with LHP Trever Miller on a one-year contract and signed LHP Denny Neagle to a minor league deal with an invitation to Spring Training.
2005-02-08,Boston Red Sox Agreed to terms with 1B Roberto Petagine on a minor league contract with an invitation to Spring Training.
2005-02-08,"Colorado Rockies Agreed to terms with INF Clint Barmes, C J.D. Closser, LHP Jeff Francis, OF Choo Freeman and RHP Chin-hui Tsao on one-year contracts."
2005-02-08,"Milwaukee Brewers Agreed to terms with LHP Jorge De La Rosa, RHP Jose Capellan, RHP Justin Lehr, RPH Luis Pena and OF Corey Hart on one-year contracts."
2005-02-08,"Pittsburgh Pirates Agreed to terms with OF Rajai Davis, INF Brad Eldred, RHP Matt Peterson and LHP Cory Stewart on one-year contracts."
2005-02-08,"Washington Nationals Agreed to terms with 1B Larry Broadway, 3B Tony Blanco and INF Alejandro Machado on one-year contracts."
2005-02-09,"Chicago Cubs Acquired RHP Roberto Novoa, INF Scott Moore and nonroster OF Bo Flowers from the Tigers in exchange for RHP Kyle Farnsworth and a player to be named later."
2005-02-09,"Detroit Tigers Acquired RHP Kyle Farnsworth and a player to be named from the Cubs for RHP Roberto Novoa, 3B Scott Moore and OF Bo Flowers."
2005-02-09,Kansas City Royals Signed OF Brian L. Hunter to a minor league contract and invited him to Spring Training.
2005-02-10,"Atlanta Braves Agreed to terms with RHP Kyle Davies, LHP Anthony Lerew, LHP Macay McBride, OF Kelly Johnson, OF Onil Joseph, OF Billy McCarthy, INF Luis Hernandez, INF Andy Marte, INF Peter Orr, INF Tony Pena and INF Scott Thorman on one-year contracts."
2005-02-10,"Florida Marlins Signed INF Derek Wathan, OF Eric Reed, RHP Michael Flannery, RHP Randy Messenger and RHP Chris Resop to one-year contracts; Outrighted RHP Kevin Cave to Double-A Carolina and then signed to a one-year contract as a non-roster invitee."
2005-02-10,"Houston Astros Signed OF Trenidad Hubbard to a minor league contract with an invitation to Spring Training and RHP Roy Oswalt to a two-year, $16.9-million contract."
2005-02-10,"Kansas City Royals Signed RHP Brian Bass, 2B Ruben Gotay, SS Andres Blanco and 3B Mark Teahen to one-year contracts."
2005-02-10,"Milwaukee Brewers Agreed to terms with LHP Sam Narron, LHP Andy Pratt, RHP Wes Obermueller, RHP Derrick Turnbow and OF Nelson Cruz on one-year contracts."
2005-02-10,Philadelphia Phillies Agreed to terms with OF Jason Michaels on a one-year contract.
2005-02-10,Pittsburgh Pirates Agreed with LHP Sean Burnett and RHP John Van Benschoten on one-year contracts.
2005-02-10,Washington Nationals Agreed to terms with OF Tyrell Godwin and RHP Gary Majewski on one-year contracts.
2005-02-11,Arizona Diamondbacks Signed RHP Juan Acevedo to a minor-league contract with an invitation to Spring Training.
2005-02-11,"Colorado Rockies Signed INF Alfredo Amezaga, RHP Scott Dohmann, LHP Matthew Merricks, RHP Juan Morillo, INF Jayson Nix, OF Jeff Salazar, INF Ryan Shealy and RHP Jason Young to one-year contracts."
2005-02-11,"Milwaukee Brewers Signed LHP Jeff Housman, RHP Ben Diggins, RHP Mike Jones and OF Brad Nelson to one-year contracts and extended an invitation to Spring Training to INF Enrique Cruz."
2005-02-11,"New York Mets Signed LHP Jose Rosado to a minor league contract with invitation to Spring Training and outrighted INF Danny Garcia, who cleared waivers, to Triple-A Norfolk."
2005-02-11,"Tampa Bay Devil Rays Agreed to terms with RHP Travis Harper, RHP Jose Diaz, RHP Franklin Nunez and OF Jonny Gomes on a one-year contracts."
2005-02-11,Washington Nationals Agreed to terms with OF Ryan Church on a one-year contract.
2005-02-13,Chicago White Sox Acquired minor league OF Jerry Owens from Washington in exchange for OF Alex Escobar.
2005-02-13,Milwaukee Brewers Agreed to terms with RHP Ben Sheets on a one-year contract.
2005-02-14,New York Mets Signed RHP Todd Van Poppel to a minor league contract with an invitation to Spring Training.
2005-02-14,"Tampa Bay Devil Rays Agreed to terms with RHP Jorge Sosa on a one-year, $650,000 contract."
2005-02-14,Washington Nationals Acquired OF Alex Escobar from the White Sox for nonroster OF Jerry Owens and designated INF Alejandro Machado for assignment.
2005-02-15,Boston Red Sox Acquired INF Alejandro Machado from the Washington Nationals in exchange for a player to be named and agreed with RHP Denny Tomori on a one-year minor league contract with an invitation to Spring Training.
2005-02-15,Washington Nationals Traded INF Alejandro Machado to the Boston Red Sox in exchange for a player to be named.
2005-02-16,New York Yankees Signed INF Rey Sanchez to a one-year contract.
2005-02-16,"Texas Rangers Signed 1B Adrian Gonzalez, C Gerald Laird, OF Ramon Nivar, LHP Erasmo Ramirez, RHP Nick Masset, RHP Josh Rupe and LHP Ryan Wing to one-year contracts."
