date,transaction
2006-01-17,"San Francisco Giants Invited the following non-roster players to Spring Training: Ps Jamey Wright, Matt Anderson, Joe Bateman, Justin Hedrick, Matt Kinney, Pedro Liriano, Jeff Miller, Billy Sadler, Brian Wilson, Jonathan Sanchez and Michael Tejera; Cs Todd Jennings and Brian Munhall; INFs Brian Buscher, Tomas de la Rosa, Kevin Frandsen, Derin McMains, Pablo Sandoval and Jake Wald; and OFs John Bowker, Brian Horwitz, Abraham Nunez, Adam Shabala and Clay Timpner."
2006-01-17,Seattle Mariners Agreed to terms with INF Willie Bloomquist on a two-year contract.
2006-01-17,"St. Louis Cardinals Agreed to terms with RHP Jason Marquis on a one-year contract, avoiding arbitration."
2006-01-17,Texas Rangers Signed 1B Mark Teixeira to a two-year contract; Signed OF outfielder Brad Wilkerson to a one-year contract; Signed RHP Adam Eaton to a one-year contract.
2006-01-17,Toronto Blue Jays Signed LHP Ted Lilly to one-year contract; Acquired LHP Brian Tallet from the Cleveland Indians in exchange for RHP Bubbie Buzachero.
2006-01-17,Washington Nationals Signed C Brian Schneider to a four-year contract and 1B Nick Johnson to a one-year contract.
2006-01-18,Boston Red Sox Designated RHP Tim Bausher for assignment.
2006-01-18,"Colorado Rockies Signed RHP Keiichi Yabu, LHP Tom Martin and 1B Carlos Rivera to Minor League contracts with invitations to Spring Training."
2006-01-18,Los Angeles Angels Signed RHP Brendan Donnelly to a one-year contract.
2006-01-18,New York Mets Designated OF Angel Pagan for assignment
2006-01-18,Signed Japanese free agent RHP Yusaku Iriki to a one-year contract.
2006-01-18,"Pittsburgh Pirates Signed RHP Terry Adams and RHP Jorge Vasquez to Minor League contracts and invited them to Spring Training; Invited nonroster players C Carlos Maldonado, C Paul Chiaffredo, OF Andrew McCutchen and OF Ray Sadler to Spring Training."
2006-01-18,Tampa Bay Devil Rays Signed RHP Shawn Camp to a one-year contract and INF Luis Rivas to a Minor League contract with an invitation to Spring Training.
2006-01-19,Boston Red Sox Signed RHP Bronson Arroyo to a three-year contract; Signed INF Willie Harris to a Minor League contract with an invitation to Spring Training.
2006-01-19,"Chicago White Sox Invited nonroster players RHP Lance Broadway, LHP Ray Liotta, LHP Corwin Malone, C Carlos Lee, C Donny Lucy, C Gustavo Molina, INF Angel Gonzalez, INF Tim Hummel, SS Robert Valido, 3B Josh Fields, and OF Ryan Sweeney to Spring Training."
2006-01-19,"Agreed to terms on Minor League contracts with RHP Agustin Montero, RHP Tim Redding, OF Darren Blakely, OF Ben Grieve and INF Jorge Velandia and invited them to Spring Training."
2006-01-19,Cincinnati Reds Outrighted RHP Josh Hancock to Triple-A Louisville with an invitation to Spring Training.
2006-01-19,Cleveland Indians Invited nonroster OF Trevor Crowe to Spring Training.
2006-01-19,San Diego Padres Claimed 1B Walter Young off waivers from the Baltimore Orioles.
2006-01-20,Texas Rangers Acquired INF Aarom Baldiris on a waiver claim from the New York Mets.
2006-01-21,Baltimore Orioles Acquired RHP Kris Benson from the Mets in exchange for RHP Jorge Julio and RHP John Maine.
